ID	U	V
0	31.15044748397522	-0.886544311024466
1	30.92819137995443	5.326666535067
2	29.761372997706776	11.4330428937009
3	27.643277167009206	17.277289580431823
4	24.57749759522104	22.683832883148895
5	20.591489882837116	27.450943996627196
6	15.75728559047279	31.352822727426794
7	10.628024956300491	33.99931824059246
8	5.0657975020045765	35.53702134132885
9	-0.6954050911390839	35.86558336009527
10	-6.396988945027477	34.97333926641059
11	-11.798173987579897	32.93802880890142
12	-16.7078327496917	29.900861749115105
13	-21.34202231587763	25.652501317623713
14	-25.134170823395014	20.636469502463072
15	-28.028813506562688	15.053091515293081
16	-29.99749450043555	9.079389013817966
17	-31.024336786478447	2.8737213325491537
18	-31.09779522844996	-3.415924172831322
19	-30.327846798768622	-9.085541782085294
20	-28.75395370739501	-14.586096686310135
21	-26.374347366534664	-19.788423298347126
22	-23.19904700767483	-24.54605956672598
23	-19.26116829925452	-28.69324579025836
24	-14.632269709076187	-32.049754765316116
25	-9.973718089303956	-34.248298658256864
26	-4.990286662016395	-35.55045260349072
27	0.14918619901098928	-35.888215554443285
28	5.260343570097088	-35.25055217139252
29	10.167872238346035	-33.68452121462691
30	14.725436336615832	-31.28191680688998
31	19.4304556592787	-27.602480884604148
32	23.408965610195086	-23.145884969976116
33	26.597314906833	-18.09263716876616
34	28.961429233385278	-12.604505076535252
35	30.48297648377493	-6.825383500508622
